                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.1149,                 1.9101,                 2.2274,                0.58216,                0.37795,                0.41181,                0.30707,                 2.0873,                   2.23,                  2.558,               0.008317,               0.008317,               0.008317
                     36,                 2.1141,                 1.9181,                 2.2311,                0.57434,                0.39373,                0.41935,                  0.308,                 2.0905,                 2.2087,                  2.551,              0.0082675,              0.0082675,              0.0082675
                     37,                 2.1081,                 1.8968,                  2.225,                0.56359,                0.37931,                0.41414,                0.30698,                 2.0976,                 2.2063,                 2.5557,               0.008218,               0.008218,               0.008218
                     38,                  2.097,                 1.8759,                  2.219,                 0.5564,                0.40658,                0.42307,                0.31209,                 2.0944,                 2.1974,                 2.5618,              0.0081685,              0.0081685,              0.0081685
                     39,                 2.0854,                  1.865,                 2.2155,                0.55577,                0.41169,                0.43089,                0.31977,                 2.0889,                 2.2132,                 2.5483,               0.008119,               0.008119,               0.008119
                     40,                 2.0786,                 1.8477,                 2.2073,                0.56715,                 0.4116,                0.45285,                0.33745,                 2.0855,                 2.1991,                 2.5467,              0.0080695,              0.0080695,              0.0080695
                     41,                 2.0822,                 1.8333,                  2.206,                0.57114,                0.40516,                0.43907,                0.32514,                 2.0862,                 2.2593,                 2.5368,                0.00802,                0.00802,                0.00802
                     42,                 2.0736,                 1.8287,                 2.2079,                0.54114,                0.41271,                0.43512,                0.32345,                 2.0823,                 2.2488,                  2.535,              0.0079705,              0.0079705,              0.0079705
                     43,                  2.077,                 1.8135,                 2.2031,                0.55343,                0.39368,                0.43165,                0.32172,                 2.0804,                 2.2433,                 2.5315,               0.007921,               0.007921,               0.007921
                     44,                 2.0651,                 1.8041,                 2.2033,                0.55398,                0.40379,                   0.44,                0.32679,                 2.0852,                 2.2717,                 2.5367,              0.0078715,              0.0078715,              0.0078715
                     45,                 2.0575,                 1.7716,                 2.1993,                0.55926,                0.41429,                0.43921,                0.32668,                 2.0884,                 2.2498,                 2.5343,               0.007822,               0.007822,               0.007822
                     46,                 2.0671,                 1.7729,                 2.1912,                0.53935,                0.42291,                0.45091,                0.33587,                 2.0822,                 2.2174,                 2.5379,              0.0077725,              0.0077725,              0.0077725
                     47,                 2.0835,                  1.785,                 2.1959,                0.46536,                0.48058,                0.45568,                0.34136,                 2.0798,                 2.2322,                 2.5364,               0.007723,               0.007723,               0.007723
                     48,                 2.0604,                 1.7421,                 2.1864,                 0.4821,                0.44596,                0.45331,                0.33963,                 2.0768,                 2.2557,                 2.5362,              0.0076735,              0.0076735,              0.0076735
                     49,                 2.0605,                  1.742,                  2.192,                0.58175,                0.39296,                0.44574,                0.33383,                 2.0718,                 2.2564,                 2.5319,               0.007624,               0.007624,               0.007624
                     50,                 2.0429,                 1.7241,                 2.1824,                0.57292,                0.39609,                0.44003,                0.33022,                 2.0718,                 2.2395,                 2.5252,              0.0075745,              0.0075745,              0.0075745
                     51,                 2.0495,                 1.7083,                 2.1835,                0.46122,                0.45866,                0.43847,                 0.3293,                 2.0696,                 2.2327,                 2.5274,               0.007525,               0.007525,               0.007525
                     52,                 2.0416,                 1.7229,                 2.1827,                0.48434,                0.44356,                0.43983,                 0.3292,                 2.0684,                 2.2357,                 2.5363,              0.0074755,              0.0074755,              0.0074755
                     53,                 2.0428,                 1.6909,                 2.1747,                0.48607,                0.42026,                0.43402,                0.32482,                 2.0656,                 2.2394,                 2.5301,               0.007426,               0.007426,               0.007426
                     54,                 2.0234,                  1.691,                 2.1808,                0.49119,                0.41318,                0.43635,                0.32618,                 2.0633,                 2.2487,                 2.5311,              0.0073765,              0.0073765,              0.0073765
                     55,                 2.0266,                 1.6601,                 2.1679,                0.49167,                0.43597,                0.44245,                0.33319,                 2.0664,                 2.2605,                 2.5349,               0.007327,               0.007327,               0.007327
                     56,                 2.0227,                 1.6794,                 2.1665,                0.51371,                0.41903,                0.44469,                0.33393,                 2.0693,                 2.2714,                 2.5331,              0.0072775,              0.0072775,              0.0072775
                     57,                 2.0239,                 1.6654,                 2.1611,                0.50129,                0.44186,                0.45087,                0.33973,                 2.0715,                   2.27,                 2.5321,               0.007228,               0.007228,               0.007228
                     58,                 2.0275,                 1.6635,                 2.1643,                0.52527,                0.41676,                0.44617,                0.33585,                 2.0689,                 2.2758,                 2.5291,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.9914,                  1.656,                 2.1698,                0.52747,                0.41394,                 0.4391,                0.32867,                 2.0712,                 2.2712,                 2.5322,               0.007129,               0.007129,               0.007129
                     60,                 1.9827,                 1.6304,                 2.1621,                0.53987,                0.41074,                0.43975,                0.32877,                  2.072,                 2.2729,                 2.5337,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.9907,                 1.6077,                 2.1549,                0.51951,                0.41939,                 0.4414,                 0.3292,                 2.0725,                  2.278,                  2.533,                0.00703,                0.00703,                0.00703
                     62,                  2.006,                 1.5924,                 2.1429,                0.53785,                0.41602,                0.44323,                0.33074,                 2.0709,                 2.2845,                 2.5307,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.9973,                 1.5916,                 2.1475,                0.51201,                0.42697,                0.44284,                 0.3302,                 2.0705,                 2.2904,                 2.5273,               0.006931,               0.006931,               0.006931
                     64,                 1.9803,                 1.5857,                 2.1422,                0.53538,                0.41653,                0.43936,                0.32778,                 2.0675,                 2.2923,                 2.5237,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.9856,                 1.5873,                 2.1487,                0.52459,                0.41622,                0.43933,                0.32769,                 2.0686,                 2.2889,                  2.527,               0.006832,               0.006832,               0.006832
                     66,                 1.9945,                 1.6168,                  2.145,                 0.5328,                0.41289,                0.43922,                0.32775,                 2.0681,                 2.2825,                 2.5269,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.9972,                 1.5734,                 2.1342,                0.51602,                0.42792,                0.44034,                0.32854,                 2.0711,                   2.28,                  2.529,               0.006733,               0.006733,               0.006733
                     68,                 1.9602,                 1.5697,                 2.1394,                0.51215,                0.43107,                0.43925,                0.32719,                 2.0695,                 2.2862,                 2.5282,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.9792,                 1.5619,                 2.1335,                  0.515,                0.43066,                0.44123,                0.32794,                 2.0701,                 2.2866,                 2.5286,               0.006634,               0.006634,               0.006634
                     70,                 1.9845,                 1.5581,                 2.1285,                0.51434,                 0.4321,                0.44273,                0.32949,                 2.0694,                 2.2888,                 2.5287,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.9767,                 1.5505,                 2.1393,                0.53888,                0.41512,                 0.4433,                0.32929,                 2.0688,                 2.2892,                 2.5283,               0.006535,               0.006535,               0.006535
                     72,                 1.9846,                 1.5406,                 2.1331,                0.53462,                0.41836,                0.44358,                 0.3294,                 2.0665,                 2.2961,                 2.5288,              0.0064855,              0.0064855,              0.0064855
